driver_id,month,total_miles,total_hours,total_fuel,avg_mpg,idle_time,trip_count,idle_ratio,productivity,fuel_efficiency,home_terminal,cdl_class,employment_status,years_experience,date_of_birth,hire_date,driver_age,driver_tenure
DRV00001,2022-01-01,36620,642.7,5574.7,6.6123076923076916,214.1,26,0.33312587521394116,56.97837249105336,6.568963352288016,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-02-01,13515,245.2,2095.1,6.693333333333333,61.5,9,0.250815660685155,55.11827079934747,6.450766073218462,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-03-01,30361,546.6,4792.2,6.3615,150.8,20,0.27588730332967437,55.54518843761434,6.3355035265640005,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-04-01,28127,501.8,4251.4,6.609473684210526,160.4,19,0.319649262654444,56.052212036667996,6.6159382791551025,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-05-01,16071,282.3,2573.1,6.352142857142858,95.6,14,0.3386468296138859,56.92879914984059,6.245773580506005,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-06-01,17291,305.2,2767.8,6.3792307692307695,71.9,13,0.23558322411533422,56.65465268676278,6.2471999421923545,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-07-01,32772,595.8,5198.6,6.405714285714287,158.5,21,0.266028868747902,55.0050352467271,6.304004924402723,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-08-01,27010,465.2,4331.9,6.353,115.8,20,0.24892519346517628,58.06104901117799,6.235139315311988,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-09-01,30866,523.7,4984.9,6.2105,115.2,20,0.21997326713767423,58.938323467634135,6.191899536600534,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-10-01,23943,404.3,3832.4,6.260000000000001,84.4,12,0.20875587435072968,59.220875587435074,6.247521135580837,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-11-01,21223,371.8,3401.1,6.285,125.0,16,0.33620225927918235,57.081764389456694,6.240039987063009,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2022-12-01,21622,386.4,3360.9,6.410625,114.9,16,0.297360248447205,55.957556935817806,6.433395816596745,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-01-01,18268,317.7,2857.2,6.465833333333333,91.8,12,0.28895184135977336,57.50078690588606,6.393672126557469,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-02-01,28460,493.1,4405.0,6.407058823529412,121.7,17,0.2468059217197323,57.71648752788481,6.4608399545970485,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-03-01,20595,355.2,3107.8,6.645714285714285,101.3,14,0.28519144144144143,57.98141891891892,6.626874316236566,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-04-01,33189,586.3000000000001,4982.5,6.5495,117.4,20,0.20023878560463926,56.60753880266075,6.661113898645258,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-05-01,38925,700.2,5834.1,6.698518518518519,180.1,27,0.25721222507854896,55.59125964010283,6.671980254023756,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-06-01,25040,440.8,3889.6,6.616875,101.3,16,0.22980943738656986,56.80580762250454,6.437679967091732,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-07-01,33112,588.2,5208.4,6.40625,172.6,24,0.2934376062563753,56.293777626657594,6.3574226249904005,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-08-01,23507,397.9,3637.2999999999997,6.569444444444445,138.3,18,0.3475747675295301,59.07765770294044,6.462760839083936,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-09-01,26151,457.5,4183.4,6.27125,120.3,16,0.26295081967213113,57.16065573770492,6.251135440072669,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-10-01,15481,282.3,2495.6,6.369999999999999,88.2,14,0.31243358129649307,54.838823946156566,6.203317839397339,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-11-01,27676,488.4,4265.6,6.624117647058823,112.3,17,0.22993447993447994,56.66666666666667,6.488184546136534,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
DRV00001,2023-12-01,25415,430.8,4132.2,6.242222222222222,121.6,18,0.2822655524605385,58.99489322191272,6.150476743623252,Denver,A,Active,3,1973-11-07,2014-10-31,52.12876712328767,11.12054794520548
