driver_id,month,trips_completed,total_miles_x,total_revenue,average_mpg,total_fuel_gallons,on_time_delivery_rate,average_idle_hours,total_miles_y,total_hours,fuel_used,avg_trip_mpg,idle_time,trip_count,idle_ratio,productivity,fuel_efficiency,home_terminal,cdl_class,employment_status,years_experience,driver_age,driver_tenure
DRV00001,2022-01-01,26,36620,79141.59,6.61,5574.7,0.385,8.2,36620,642.7,5574.7,6.6123076923076916,214.1,26,0.33312587521394116,56.97837249105336,6.568963352288016,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-02-01,9,13515,27133.87,6.69,2095.1,0.333,6.8,13515,245.2,2095.1,6.693333333333333,61.5,9,0.250815660685155,55.11827079934747,6.450766073218462,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-03-01,20,30361,62399.62,6.36,4792.2,0.55,7.5,30361,546.6,4792.2,6.3615,150.8,20,0.27588730332967437,55.54518843761434,6.3355035265640005,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-04-01,19,28127,68161.13,6.61,4251.4,0.474,8.4,28127,501.8,4251.4,6.609473684210526,160.4,19,0.319649262654444,56.052212036667996,6.6159382791551025,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-05-01,14,16071,36256.82,6.35,2573.1,0.214,6.8,16071,282.3,2573.1,6.352142857142858,95.6,14,0.3386468296138859,56.92879914984059,6.245773580506005,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-06-01,13,17291,39709.91,6.38,2767.8,0.615,5.5,17291,305.2,2767.8,6.3792307692307695,71.9,13,0.23558322411533422,56.65465268676278,6.2471999421923545,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-07-01,21,32772,66855.24,6.41,5198.6,0.476,7.5,32772,595.8,5198.6,6.405714285714287,158.5,21,0.266028868747902,55.0050352467271,6.304004924402723,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-08-01,20,27010,58514.48,6.35,4331.9,0.45,5.8,27010,465.2,4331.9,6.353,115.8,20,0.24892519346517628,58.06104901117799,6.235139315311988,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-09-01,20,30866,72027.99,6.21,4984.9,0.55,5.8,30866,523.7,4984.9,6.2105,115.2,20,0.21997326713767423,58.938323467634135,6.191899536600534,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-10-01,12,23943,53495.8,6.26,3832.4,0.333,7.0,23943,404.3,3832.4,6.260000000000001,84.4,12,0.20875587435072968,59.220875587435074,6.247521135580837,Denver,A,Active,3,52.12876712328767,11.12054794520548
DRV00001,2022-11-01,16,21223,43790.85,6.28,3401.1,0.5,7.8,21223,371.8,3401.1,6.285,125.0,16,0.33620225927918235,57.081764389456694,6.240039987063009,Denver,A,Active,3,52.12876712328767,11.12054794520548
